"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"República Centroafricana","CAF","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canadá","CAN","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.756","10.218","10.893","11.557","10.177","9.601","9.762","9.174","8.581","7.781","7.013","7.225","7.831","7.738","7.443","7.125","6.691","6.561","6.724","9.532","9.141","8.493","8.223","8.211","8.089","8.246","8.229","7.445","6.91","7.122","13.072","9.976","6.78","6.953",
"Europa Central y del Báltico","CEB","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8518545250559","12.0790337738011","9.88438044665796","11.5246955919647","14.1621777275865","16.7102117203869","17.3572684140064","16.5824905927366","15.7132682392501","14.58366149878","11.3856567293926","8.29955925161132","6.75771632791933","9.35734326730109","11.3314412256128","10.9091102611196","11.1717580790467","11.3259209338794","10.0799751438602","8.59860973545951","7.11218643784489","5.85147173452067","4.7713736652353","4.06111757182905","5.1603457724944","5.17850830011417","4.61706643763773","4.60173824825385",
"Suiza","CHE","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.157","2.203","3.576","3.447","2.77","3.176","3.046","3.089","2.634","2.454","2.159","2.659","3.879","4.108","4.205","3.856","3.545","3.38","3.863","4.899","4.195","4.375","4.689","4.719","4.37","4.788","4.6","4.753","4.416","5.015","5.106","3.879","3.75",
"Islas del Canal","CHI","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62","","10.487","","","10.844","","","7.13","8.51","","12.076","9.289","8.334","7.409","6.794","7.213","7.12","7.47","7.813","8.001","8.172","11.747","9.989","8.884","9.869",
"China","CHN","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.603","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.861","12.159","","","5.146","6.396","","5.49","","","6.252","",
"Camerún","CMR","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.209","","","","","","","7.448","","","","","","","11.416","","",
"Congo, República Democrática del","COD","Personas desempleadas con educación intermedia (% del desempleo total)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","","","","","","6.672","","","","","","","","7.492","","","",
