"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"China","CHN","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.843","","","","","","","","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.409","7.658","","","8.846","12.389","","6.653","","","10.51","",
"Camerún","CMR","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.597","","","","","","","13.297","","","","","","","18.775","","",
"Congo, República Democrática del","COD","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.46","","","","","","","11.919","","","","","","","","5.496","","","",
"Congo, República del","COG","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.217","","","","25.768","","","","","","","","","","","","","","",
"Colombia","COL","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.116","12.497","12.606","11.089","","10.867","11.392","12.175","12.685","12.004","11.843","11.09","10.645","10.61","11.635","11.249","11.685","11.961","","15.31","10.238","9.66",
"Comoras","COM","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11","","","","","","","","","","12.186","","","","","","","10.969","","",
"Cabo Verde","CPV","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.576","","","","","","20.123","","10.92","6.19","7.13","","","","",
"Costa Rica","CRI","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09","3.73","3.09","3.08","2.21","3.96","3.02","3.95","3.19","4.95","2.29","1.74","2.17","","3.967","5.555","5.727","4.322","5.34","5.848","4.65","4.353","5.107","6.097","8.933","7.503","6.515","5.226",
"Estados pequeos del Caribe","CSS","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","0.56","0.4","0.48","1.45","","","","","","","","","","","","","",
"Curacao","CUW","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.68","","10.58","","","",
"Islas Caimán","CYM","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91","4.15","2.69","2.81","2.52","","","","","","","","",
"Chipre","CYP","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.028","1.255","1.953","2.347","3.771","3.757","4.648","4.47","3.424","3.004","4.855","5.782","7.27","10.439","13.364","12.953","12.151","10.947","9.846","7.667","6.263","7.101","6.306","5.762","5.328",
"República Checa","CZE","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11","1.44","6.284","10.222","6.27","4.48","3.332","4.167","3.823","4.04","4.443","2.001","2.376","4.797","5.003","4.027","3.518","4.103","2.836","2.381","1.872","1.483","1.185","0.996","1.418","1.359","0.794","1.307",
"Alemania","DEU","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.163","4.557","5.334","4.927","5.251","5.71","5.5","5.031","4.261","4.133","4.261","4.974","5.396","5.561","4.439","3.87","3.501","3.559","2.829","2.225","2.372","2.408","2.471","2.263","2.179","1.99","1.906","1.872","2.544","2.404","1.877","2.149",
"Djibouti","DJI","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.29","","","","","","",
"Dominica","DMA","Personas desempleadas con educación avanzada (% del desempleo total)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
