"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Côte d'Ivoire","CIV","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","3861","6050","8232","8331","10507","11577","11151","11017","19042","",
"Camerún","CMR","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, República Democrática del","COD","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1701","1565","1464","2102","1480","1795","","","",
"Congo, República del","COG","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","43","45","47","68","55","64","66","51","92","86","95","113","109","132","","","",
"Colombia","COL","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60739","69179","60456","67997","66412","67560","73665","68491","78400","81834","",
"Comoras","COM","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","181","136","121","136","102","182","245","159","132","83","250","318","339","",
"Cabo Verde","CPV","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469","804","923","1181","991","1041","1086","1372","3327","4483","5974","6093","4855","9190","7491","",
"Costa Rica","CRI","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10273","10965","13154","20693","17573","20758","16427","12686","17950","20733","",
"Estados pequeos del Caribe","CSS","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12275","14235","11860","7859","8153","9059","8965","9429","11005","11860","11174","13046","16326","12817","11731","16748","11796","",
"Chipre","CYP","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20280","29016","24453","16101","19278","19538","17999","10847","11169","11270","13645","13677","14526","12781","11053","","","",
"República Checa","CZE","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16395","20938","22633","21717","22456","21173","21571","22227","24366","26068","27881","31195","30336","28758","26024","28756","27121","",
"Alemania","DEU","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65447","65292","65812","74055","73966","71190","69332","68526","67458","69384","70720","71801","72844","73991","72774","82991","74773","",
"Djibouti","DJI","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1142","","","",
"Dominica","DMA","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","158","171","131","164","138","126","103","150","134","123","132","169","159","129","164","170","",
"Dinamarca","DNK","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26471","28950","25624","16595","18056","17880","16961","16884","25958","30378","33765","36485","37196","33110","29502","32963","27333","",
"República Dominicana","DOM","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3257","7219","8131","8059","8367","9363","9597","10204","","","","","",
"Argelia","DZA","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868","7939","11111","10657","9573","12267","13989","14231","15583","14140","14816","16683","15708","14401","13981","16926","17867","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egipto, República Árabe de","EGY","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","1464","1917","1914","2364","2168","2591","2695","3175","3902","4413","5387","10411","13570","14337","19286","18587","",
"Zona del Euro","EMU","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"España","ESP","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141830","138879","99473","74333","75885","81027","84399","90373","91544","91750","98824","92613","93560","92010","77541","99159","96655","",
"Estonia","EST","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12070","11599","9661","8183","9212","13141","13524","14242","13867","15005","16572","18461","19950","20899","20329","24728","20608","",
"Etiopía","ETH","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8944","8807","10354","11588","13212","9125","11265","10935","14211","17499","19649","34327","",
"Unión Europea","EUU","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
