Country,Region 2015,Region 2016,Region 2017,Region 2018,Region 2019,Happiness_Rank 2015,Happiness_Rank 2016,Happiness_Rank 2017,Happiness_Rank 2018,Happiness_Rank 2019,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Standard_Error 2015,Standard_Error 2016,Standard_Error 2017,Standard_Error 2018,Standard_Error 2019,Economy_(GDP_per_Capita) 2015,Economy_(GDP_per_Capita) 2016,Economy_(GDP_per_Capita) 2017,Economy_(GDP_per_Capita) 2018,Economy_(GDP_per_Capita) 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Health_(Life_Expectancy) 2015,Health_(Life_Expectancy) 2016,Health_(Life_Expectancy) 2017,Health_(Life_Expectancy) 2018,Health_(Life_Expectancy) 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Dystopia_Residual 2015,Dystopia_Residual 2016,Dystopia_Residual 2017,Dystopia_Residual 2018,Dystopia_Residual 2019,Lower_Confidence_Interval 2015,Lower_Confidence_Interval 2016,Lower_Confidence_Interval 2017,Lower_Confidence_Interval 2018,Lower_Confidence_Interval 2019,Upper_Confidence_Interval 2015,Upper_Confidence_Interval 2016,Upper_Confidence_Interval 2017,Upper_Confidence_Interval 2018,Upper_Confidence_Interval 2019,Whisker_high 2015,Whisker_high 2016,Whisker_high 2017,Whisker_high 2018,Whisker_high 2019,Whisker_low 2015,Whisker_low 2016,Whisker_low 2017,Whisker_low 2018,Whisker_low 2019,Overall_rank 2015,Overall_rank 2016,Overall_rank 2017,Overall_rank 2018,Overall_rank 2019
Kuwait,Middle East and Northern Africa,Middle East and Northern Africa,,,,39.0,41.0,39.0,,,6.295,6.239,6.10500001907349,6.083,6.021,0.04456,,,,,1.55422,1.61714,1.63295245170593,1.474,1.5,1.16594,0.87758,1.25969874858856,1.301,1.319,0.72492,0.63569,0.632105708122253,0.675,0.808,0.55499,0.43166,0.496337592601776,0.554,0.493,0.25609,0.23669,0.215159550309181,0.106,0.097,0.16228,0.15965,0.228289797902107,0.167,0.142,1.87634,2.28085,1.64042520523071,,,,6.154,,,,,6.324,,,,,,6.1919569888711,,,,,6.01804304927588,,,,,,45.0,51.0
Laos,Southeastern Asia,Southeastern Asia,,,,99.0,102.0,,,,4.876,4.876,,4.623,4.796,0.06698,,,,,0.59066,0.68042,,0.72,0.764,0.73803,0.5497,,1.034,1.03,0.54909,0.38291,,0.441,0.551,0.59591,0.52168,,0.626,0.547,0.24249,0.22423,,0.174,0.164,0.42192,0.43079,,0.23,0.266,1.73799,2.08637,,,,,4.742,,,,,5.01,,,,,,,,,,,,,,,,,110.0,105.0
Lesoto,Sub-Saharan Africa,,,,,97.0,,139.0,,,4.898,,3.80800008773804,3.808,3.802,0.09438,,,,,0.37545,,0.521021246910095,0.472,0.489,1.04103,,1.19009518623352,1.215,1.169,0.07612,,0.0,0.079,0.168,0.31767,,0.390661299228668,0.423,0.359,0.12504,,0.119094640016556,0.112,0.093,0.16388,,0.157497271895409,0.116,0.107,2.79832,,1.42983531951904,,,,,,,,,,,,,,,4.04434397548437,,,,,3.5716561999917,,,,,,141.0,144.0
Letonia,Central and Eastern Europe,Central and Eastern Europe,,,,89.0,68.0,54.0,,,5.098,5.56,5.84999990463257,5.933,5.94,0.0464,,,,,1.11312,1.21788,1.26074862480164,1.148,1.187,1.09562,0.95025,1.40471494197845,1.454,1.465,0.72437,0.63952,0.638566970825195,0.671,0.812,0.29671,0.27996,0.325707912445068,0.363,0.264,0.06332,0.0889,0.0738427266478539,0.066,0.064,0.18226,0.17445,0.153074786067009,0.092,0.075,1.62215,2.20859,1.99365520477295,,,,5.486,,,,,5.634,,,,,,5.92026353821158,,,,,5.77973627105355,,,,,,53.0,53.0
Liberia,Sub-Saharan Africa,Sub-Saharan Africa,,,,116.0,150.0,148.0,,,4.571,3.622,3.53299999237061,3.495,3.975,0.11068,,,,,0.0712,0.10706,0.119041793048382,0.076,0.073,0.78968,0.50353,0.872117936611176,0.858,0.922,0.34201,0.23165,0.229918196797371,0.267,0.443,0.28531,0.25748,0.332881182432175,0.419,0.37,0.06232,0.04852,0.0389482490718365,0.03,0.033,0.24362,0.24063,0.26654988527298,0.206,0.233,2.77729,2.23284,1.67328596115112,,,,3.463,,,,,3.781,,,,,,3.65375626087189,,,,,3.41224372386932,,,,,,149.0,141.0
Libia,Middle East and Northern Africa,Middle East and Northern Africa,,,,63.0,67.0,68.0,,,5.754,5.615,5.52500009536743,5.566,5.525,0.07832,,,,,1.13145,1.06688,1.10180306434631,0.985,1.044,1.11862,0.95076,1.35756433010101,1.35,1.303,0.7038,0.52304,0.520169019699097,0.553,0.673,0.41668,0.40672,0.465733230113983,0.496,0.416,0.11023,0.10339,0.0926102101802826,0.148,0.152,0.18295,0.17087,0.152073666453362,0.116,0.133,2.09066,2.39374,1.83501124382019,,,,5.406,,,,,5.824,,,,,,5.67695380687714,,,,,5.37304638385773,,,,,,70.0,72.0
Lituania,Central and Eastern Europe,Central and Eastern Europe,,,,56.0,60.0,52.0,,,5.833,5.813,5.90199995040894,5.952,6.149,0.03843,,,,,1.14723,1.2692,1.31458234786987,1.197,1.238,1.25745,1.06411,1.47351610660553,1.527,1.515,0.73128,0.64674,0.62894994020462,0.716,0.818,0.21342,0.18929,0.234231784939766,0.35,0.291,0.01031,0.0182,0.0118656428530812,0.006,0.042,0.02641,0.02025,0.010164656676352,0.026,0.043,2.44649,2.60525,2.22844052314758,,,,5.734,,,,,5.892,,,,,,5.98266964137554,,,,,5.82133025944233,,,,,,50.0,42.0
Luxemburgo,Western Europe,Western Europe,,,,17.0,20.0,18.0,,,6.946,6.871,6.86299991607666,6.91,7.09,0.03499,,,,,1.56391,1.69752,1.74194359779358,1.576,1.609,1.21963,1.03999,1.45758366584778,1.52,1.479,0.91894,0.84542,0.845089495182037,0.896,1.012,0.61583,0.5487,0.59662789106369,0.632,0.526,0.37798,0.35329,0.31883442401886,0.321,0.316,0.28034,0.27571,0.283180981874466,0.196,0.194,1.96961,2.11055,1.61951208114624,,,,6.804,,,,,6.938,,,,,,6.92368609987199,,,,,6.80231373228133,,,,,,17.0,14.0
Líbano,Middle East and Northern Africa,Middle East and Northern Africa,,,,103.0,93.0,88.0,,,4.839,5.129,5.22499990463257,5.358,5.197,0.04337,,,,,1.02564,1.12268,1.07498753070831,0.965,0.987,0.80001,0.64184,1.12962424755096,1.179,1.224,0.83947,0.76171,0.735081076622009,0.785,0.815,0.33916,0.26228,0.288515985012054,0.503,0.216,0.04582,0.03061,0.037513829767704,0.136,0.027,0.21854,0.23693,0.264450758695602,0.214,0.166,1.57059,2.07339,1.69507384300232,,,,5.031,,,,,5.227,,,,,,5.31888228848577,,,,,5.13111752077937,,,,,,80.0,91.0
Macedonia,Central and Eastern Europe,Central and Eastern Europe,,,,93.0,95.0,92.0,,,5.007,5.121,5.17500019073486,5.185,,0.05376,,,,,0.91851,1.0193,1.06457793712616,0.959,,1.00232,0.78236,1.20789301395416,1.239,,0.73545,0.64738,0.644948184490204,0.691,,0.33457,0.27668,0.325905978679657,0.394,,0.05327,0.07047,0.0602777935564518,0.052,,0.22359,0.23507,0.25376096367836,0.173,,1.73933,2.08947,1.6174693107605,,,,5.017,,,,,5.225,,,,,,5.27217263966799,,,,,5.07782774180174,,,,,,89.0,
