pais,continente,pago_impuestos,desempleo_total,empleos_agricultura,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,agricultura_silvicultura_pesca_valor_agregado,exportaciones_bienes_servicios_PIB,nuevas_empresas_registradas,empleadores_total,inflacion_deflactor_PIB,personas_desempleadas_educacion_basica,tierras_cultivables,trabajadores_asalariados,Medicos (cada 1.000 personas),inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,exportaciones_bienes_servicios,puntaje,corrupcion,salud,libertad,industria,construccion,comercio_por_mayor_menor_transporte_alojamiento_comida,actividades_financieras_seguros,actividades_inmobiliarias,actividades_profesionales_cientificas_tecnicas_administrativas_apoyo,administracion_publica_defensa_educacion_salud_trabajo_social,artes_entretenimiento_recreacion_servicios_organizaciones_extraterritoriales
Bosnia y Herzegovina,Europe,1.629684918422266,2.9493125612107725,0.5425484315168337,0.45363725879639644,1.2627200215221097,0.5270661879846199,0.21445239293541213,-0.4262538126649345,-0.4692747187275333,0.18929464654641978,-0.3113233166233869,1.7778315844752797,0.1749497026246041,0.17804415835240944,-0.4011681052331943,-0.33561317681654157,-1.5233820262910736,-0.7550450846588324,-0.4955893184552204,1.133669387196405,-0.29210260244529185,-0.9832269786621121,0.293811345941182,-1.8175993965713797,1.1905243319824925,0.37261836712554386,-0.7984203230360074,-0.42896172042147646,0.35171217518642345,-0.6616316053293698,-0.4770801021530632,-0.7044503971817306
Brasil,South America,-0.6261767208377297,-0.044929786229115094,-0.19657140921234081,1.1910237193100606,-1.996288158962573,-0.23057104929003092,-0.1564607667571599,-1.2987905210841366,3.9956554602115593,0.3352658025584892,0.8816967128358895,-0.5195597622429904,-0.764583919400878,-0.14854693502114005,-0.36369521527887433,-0.21641883072606033,0.29418433124097426,-0.550153300156125,-0.736357093286035,0.5667280656939122,0.7254483471957209,0.4217374868897138,-0.2835740168143114,0.33761756491119843,-0.05745209846799208,-0.0618516317900701,-0.9050936636531768,0.3859523658673443,0.6179926863685741,-0.4359685281919248,-0.4770801021530632,0.4721363477036171
Bulgaria,Europe,-0.34634533919457106,0.04963181632875584,-0.4107639098730895,-0.17531001634761123,0.7317818330072431,0.5260387603335613,-0.21191433397123255,0.6998546711112049,0.048449532363264804,0.38410999707021987,-0.006910786525874811,1.1819110590392783,1.0397429286130837,0.7959625850571125,0.8695035268542077,-0.14245575200643,-1.0782637346505721,-0.6391936868797754,-0.12553466775062408,0.5014810219435409,-0.6578006084372192,-0.9263787054894949,0.14025140903812527,-0.6587641459249683,-0.09951871971913206,-0.9959621294586406,1.3243791552456612,-0.42896172042147646,-1.0595745340789733,0.08305654922419867,-0.1806775075268068,-0.354654337891492
Bélgica,Europe,-0.5375740738026521,-0.053682595722075184,-0.9020398433352831,-0.5006275724565807,-0.30237356980641944,0.3791166062321993,-0.9263375287019514,1.2533449837397619,-0.21465728730992836,-0.06896201409031749,-0.35827442746017135,0.29968809474305796,0.6912806892787332,0.6463116797376963,0.22701379545559092,-0.958420229419788,-0.22829975870847163,0.9818884214500371,0.5535440026323223,-0.03599389270394573,0.7024358871743414,0.827796580979837,0.944905478410142,0.8520537743103062,-1.2914063218347638,-0.9307916296212986,0.8443491224683993,-0.26597890316371237,-1.0862025851971884,3.0843754751522177,2.1082091954203928,-0.036657920354911666
Canadá,North America,-0.7288028084107331,-0.2939159562699222,-0.8616408539134052,-0.9994478251570006,-0.6285026782307849,-2.4728412423441806,-0.6848879500539072,-0.5544929462678467,-0.4599119894713702,0.4773069659086949,-0.7411953723995198,0.08653278597087896,-0.9221050721336813,0.6556324973700479,-0.10411028668621988,-0.19157482223305627,-0.02905633292653283,1.1113445626157448,-0.544910584226431,-0.08784711515658682,0.9475686134890393,1.6805206785690956,1.0001870556952424,1.1119794380066976,-0.05745209846799208,-0.0618516317900701,-0.6917469824188381,0.3859523658673443,0.6179926863685741,-0.6616316053293698,-0.4770801021530632,-0.4818529049061243
Chile,South America,-0.79254571994676,-0.3926976634047559,-0.2936327927912422,-0.21868569049547382,-0.22866839130251287,0.4840351004814647,-0.28808207415242976,-0.6589302682433885,0.33288899030050045,0.25947308693683757,0.37908891977982007,-0.8147770075826894,-1.0802554704832603,0.15417250874955382,-0.36301389000697765,0.13784535144898968,0.26344997300865375,-0.33453330481017696,-0.6368113600159528,-1.1844183988321815,0.5688635648763322,0.04816312032680067,0.7114943743174957,0.07227678322113232,1.3447686099033391,0.37261836712554386,-0.7984203230360074,1.2008664521561654,0.35171217518642345,-0.6616316053293698,-0.4770801021530632,-0.7998493224427048
Colombia,South America,-0.5375740738026521,-0.039615580465532436,0.4079428050919044,-0.04518299390402344,0.08278490724275597,0.4164061862735568,0.20193758010110782,-1.1907789996728015,0.2773419340139359,0.2527359566593577,-0.10292965663880692,-0.7718030686559659,-1.1223450106275779,-1.2291403925317201,-0.4611247291601066,-0.1816182539438753,0.49236795156662594,-0.6790002701299069,-0.6925195522899101,-0.42097058486156164,0.47231128696054303,-0.5852890664537915,-0.32042840167104497,0.5812978746265656,1.4569462665730457,0.2640008673966405,-0.6384103121102535,-0.021504677277065905,0.6978768397232189,-0.4359685281919248,-0.4770801021530632,-0.7680496806890467
Costa Rica,North America,-0.601316985338679,-0.06415470707972372,0.24072386172468832,0.10663186561349565,0.24193591215384624,0.526461818778115,-0.06367853367524841,-0.627312350157525,-0.3301694778859656,-0.43725846925923023,0.1868587569685593,-0.5033302427547065,-0.9039967816064749,-0.09158638282343869,-0.6225988185996318,-0.06052741865545485,1.5150802168834923,-0.4169518611727436,-0.3226261876081104,-0.18562201063001713,0.8470141686130103,-0.138624062954656,0.717636771793618,1.1173945560003726,0.0827699723691408,0.37261836712554386,-0.7984203230360074,0.3859523658673443,0.6179926863685741,-0.6616316053293698,-0.4770801021530632,-0.6408511136744145
Croacia,Europe,-0.4738311622666251,1.1487346083732979,-0.2055681862998683,-0.3921883870869242,0.5664343750360897,0.5270661879846199,-0.4490484599177926,-0.021308799664620893,-0.33782405489100437,0.9449760926704388,-0.5503121676860355,0.9120667244488684,-0.1665908349252157,0.5409864404921284,0.3162674060740628,-0.4661864580946582,-1.715206813879004,-0.38959778792625077,0.03046117349827996,1.2213032465444111,0.11311680227900556,-0.8045609772624579,0.27538415351281526,-0.9132746916276848,-0.0153854772168521,-0.4528746308141229,1.4310524958628308,-0.10299608590594807,-1.1394586874336186,-0.09747391248575722,0.494461735788554,-0.29105505438417606
Cuba,North America,-1.238746100698949,-1.0043002267253323,0.6109758418652393,-1.4982680778574204,0.8879976759425141,0.5270661879846199,-0.26067894949800474,-1.1319814551081586,0.0,0.5996981659495836,0.08756870290388404,-2.03024070022484e-16,0.8034262414240579,0.1675841296761036,3.452407632614713,-0.5570282906759478,-0.940489025333274,-0.60807787246007,-0.938642023077573,-0.7573468397388423,-2.7679431382237443,-0.9832269786621121,-2.181574836936091,-1.898826166476502,-0.05745209846799208,-0.0618516317900701,-0.6917469824188381,0.3859523658673443,0.8842731975507243,-0.6616316053293698,1.1696009791039153,-1.4358421575158657
