Country Name,Region,Continent,Crecimiento PIB per cápita_2015,Crecimiento PIB per cápita_2016,Crecimiento PIB per cápita_2017,Crecimiento PIB per cápita_2018,Crecimiento PIB per cápita_2019,Crecimiento PIB per cápita_2020,Crecimiento PIB per cápita_2021,Crecimiento PIB per cápita_2022,Crecimiento PIB per cápita_2023,Crecimiento población urbana_2015,Crecimiento población urbana_2016,Crecimiento población urbana_2017,Crecimiento población urbana_2018,Crecimiento población urbana_2019,Crecimiento población urbana_2020,Crecimiento población urbana_2021,Crecimiento población urbana_2022,Crecimiento población urbana_2023,Desempleo hombres_2015,Desempleo hombres_2016,Desempleo hombres_2017,Desempleo hombres_2018,Desempleo hombres_2019,Desempleo hombres_2020,Desempleo hombres_2021,Desempleo hombres_2022,Desempleo hombres_2023,Desempleo mujeres_2015,Desempleo mujeres_2016,Desempleo mujeres_2017,Desempleo mujeres_2018,Desempleo mujeres_2019,Desempleo mujeres_2020,Desempleo mujeres_2021,Desempleo mujeres_2022,Desempleo mujeres_2023,Desempleo total_2015,Desempleo total_2016,Desempleo total_2017,Desempleo total_2018,Desempleo total_2019,Desempleo total_2020,Desempleo total_2021,Desempleo total_2022,Desempleo total_2023,Empleadores total_2015,Empleadores total_2016,Empleadores total_2017,Empleadores total_2018,Empleadores total_2019,Empleadores total_2020,Empleadores total_2021,Empleadores total_2022,Empleadores total_2023,Empleados agricultura hombres_2015,Empleados agricultura hombres_2016,Empleados agricultura hombres_2017,Empleados agricultura hombres_2018,Empleados agricultura hombres_2019,Empleados agricultura hombres_2020,Empleados agricultura hombres_2021,Empleados agricultura hombres_2022,Empleados agricultura hombres_2023,Empleados agricultura mujeres_2015,Empleados agricultura mujeres_2016,Empleados agricultura mujeres_2017,Empleados agricultura mujeres_2018,Empleados agricultura mujeres_2019,Empleados agricultura mujeres_2020,Empleados agricultura mujeres_2021,Empleados agricultura mujeres_2022,Empleados agricultura mujeres_2023,Empleo vulnerable total_2015,Empleo vulnerable total_2016,Empleo vulnerable total_2017,Empleo vulnerable total_2018,Empleo vulnerable total_2019,Empleo vulnerable total_2020,Empleo vulnerable total_2021,Empleo vulnerable total_2022,Empleo vulnerable total_2023,Empleos agricultura_2015,Empleos agricultura_2016,Empleos agricultura_2017,Empleos agricultura_2018,Empleos agricultura_2019,Empleos agricultura_2020,Empleos agricultura_2021,Empleos agricultura_2022,Empleos agricultura_2023,Médicos (por cada 1.000 personas)_2015,Médicos (por cada 1.000 personas)_2016,Médicos (por cada 1.000 personas)_2017,Médicos (por cada 1.000 personas)_2018,Médicos (por cada 1.000 personas)_2019,Médicos (por cada 1.000 personas)_2020,Médicos (por cada 1.000 personas)_2021,Médicos (por cada 1.000 personas)_2022,Nuevas empresas registradas_2015,Nuevas empresas registradas_2016,Nuevas empresas registradas_2017,Nuevas empresas registradas_2018,Nuevas empresas registradas_2019,Nuevas empresas registradas_2020,Nuevas empresas registradas_2021,Nuevas empresas registradas_2022,Personas desempleadas educación avanzada_2015,Personas desempleadas educación avanzada_2016,Personas desempleadas educación avanzada_2017,Personas desempleadas educación avanzada_2018,Personas desempleadas educación avanzada_2019,Personas desempleadas educación avanzada_2020,Personas desempleadas educación avanzada_2021,Personas desempleadas educación avanzada_2022,Personas desempleadas educación avanzada_2023,Personas desempleadas educación básica_2015,Personas desempleadas educación básica_2016,Personas desempleadas educación básica_2017,Personas desempleadas educación básica_2018,Personas desempleadas educación básica_2019,Personas desempleadas educación básica_2020,Personas desempleadas educación básica_2021,Personas desempleadas educación básica_2022,Personas desempleadas educación básica_2023,Personas desempleadas educación intermedia_2015,Personas desempleadas educación intermedia_2016,Personas desempleadas educación intermedia_2017,Personas desempleadas educación intermedia_2018,Personas desempleadas educación intermedia_2019,Personas desempleadas educación intermedia_2020,Personas desempleadas educación intermedia_2021,Personas desempleadas educación intermedia_2022,Personas desempleadas educación intermedia_2023,"Trabajadores asalariados (empleados), total_2015","Trabajadores asalariados (empleados), total_2016","Trabajadores asalariados (empleados), total_2017","Trabajadores asalariados (empleados), total_2018","Trabajadores asalariados (empleados), total_2019","Trabajadores asalariados (empleados), total_2020","Trabajadores asalariados (empleados), total_2021","Trabajadores asalariados (empleados), total_2022","Trabajadores asalariados (empleados), total_2023",Trabajadores salud (cada 1.000 personas)_2015,Trabajadores salud (cada 1.000 personas)_2016,Técnicos investigación y desarrollo_2015,Técnicos investigación y desarrollo_2016,Técnicos investigación y desarrollo_2017,Técnicos investigación y desarrollo_2018,Índice facilidad para hacer negocios_2019
Gabón,Middle Africa,Africa,0.693,-0.792,-2.164,-1.688,1.383,-4.155,-0.845,0.748,0.218,3.646,3.364,3.129,2.979,2.887,2.78,2.673,2.592,2.522,14.373,14.494,14.624,14.728,14.667,15.467,15.416,14.663,14.566,28.454,28.682,28.93,29.125,29.01,30.089,29.949,29.066,28.881,,,,,,,,,,2.723,2.72,2.721,2.721,2.714,2.701,2.685,2.671,2.658,23.52,23.228,23.067,22.932,22.546,22.868,22.579,22.127,21.92,48.111,47.063,46.036,44.808,43.622,43.598,43.435,42.603,42.337,31.037,31.257,31.128,31.006,30.969,31.238,31.173,31.105,31.193,32.273,31.689,31.198,30.662,30.0,30.173,29.982,29.393,29.188,,0.343,0.658,0.624,0.61,0.594,,0.477,1544.0,1175.0,1192.0,1218.0,1475.0,1275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.241,66.023,66.151,66.272,66.316,66.061,66.142,66.225,66.149,,,,,,,169.0
Gambia,Western Africa,Africa,1.251,-0.701,2.208,4.668,3.748,-1.763,2.793,3.074,2.413,3.923,3.786,3.656,3.524,3.429,3.414,3.385,3.311,3.268,6.415,6.022,5.465,5.005,5.363,6.909,7.207,6.781,7.134,8.2,6.579,4.814,3.164,3.642,4.78,5.247,5.311,5.776,,,,4.127,,,,,6.479,2.127,2.39,2.681,2.998,3.345,3.689,4.029,4.346,5.098,22.407,22.052,21.625,20.676,19.769,19.867,19.425,19.041,17.837,47.705,47.269,46.076,44.691,43.595,43.491,43.39,42.349,40.942,71.985,71.104,70.154,69.129,68.036,67.627,66.606,65.784,64.142,34.26,33.926,33.248,32.242,31.296,31.282,31.021,30.316,29.068,0.095,,0.097,0.122,0.075,0.076,0.102,,,,,,,,,,,,,5.321,,,,,10.724,,,,4.433,,,,,6.465,,,,9.833,,,,,11.404,25.888,26.506,27.165,27.873,28.619,28.684,29.365,29.87,30.76,,,,,,88.812,155.0
Georgia,Western Asia,Asia,3.188,3.388,5.146,6.103,5.562,-6.355,11.065,10.842,7.746,0.823,0.735,0.692,0.647,0.52,0.767,0.323,0.812,0.791,18.758,20.049,15.005,13.955,12.828,13.088,13.146,12.928,12.806,13.958,12.617,12.734,11.254,10.174,10.24,10.309,10.243,10.148,16.506,16.604,13.939,12.667,11.565,11.734,,,,1.384,1.329,1.991,1.993,1.999,2.157,2.182,2.182,2.186,41.14,41.971,40.749,36.528,36.175,39.4,39.126,38.621,38.163,47.155,45.766,45.745,41.421,40.255,42.813,43.043,42.034,41.777,52.373,51.829,49.658,47.212,47.718,47.646,47.008,46.881,46.552,44.048,43.814,43.127,38.9,38.147,41.055,41.027,40.275,39.915,5.341,6.386,6.515,7.555,7.503,5.161,5.33,5.613,19491.0,21932.0,25911.0,25562.0,22936.0,18118.0,21680.0,20233.0,19.095,19.582,15.444,12.887,11.292,12.308,,,,10.199,12.303,10.936,10.491,11.274,12.86,,,,15.598,15.185,13.49,12.831,11.798,11.312,,,,46.242,46.842,48.352,50.795,50.282,50.197,50.809,50.937,51.262,,,173.302,190.888,195.392,241.597,7.0
Ghana,Western Africa,Africa,-0.208,1.047,5.781,4.019,4.391,-1.468,3.038,1.843,0.999,3.548,3.495,3.39,3.247,3.155,3.118,3.062,3.001,2.966,7.018,5.292,3.261,3.102,2.967,3.119,3.144,2.754,2.734,6.571,5.165,3.486,3.415,3.365,3.519,3.634,3.425,3.403,6.806,,3.369,,,,3.195,2.87,,5.511,4.575,3.835,3.661,3.502,3.407,3.357,3.326,3.306,42.01,43.587,44.631,43.783,42.942,42.85,42.281,41.188,40.64,27.619,33.264,39.166,37.211,35.275,33.943,32.921,30.101,29.879,71.272,70.502,69.123,68.999,68.628,68.689,68.353,68.217,67.867,35.178,38.67,42.018,40.624,39.235,38.527,37.709,35.76,35.37,0.113,0.122,0.089,0.143,0.103,0.164,0.127,0.141,,,27484.0,26402.0,25153.0,24875.0,25879.0,26354.0,7.093,,4.472,,,,3.847,5.084,,6.109,,2.803,,,,2.948,2.166,,14.225,,6.803,,,,3.871,5.999,,23.217,24.923,27.042,27.34,27.87,27.903,28.29,28.457,28.827,,,28.654,,,,118.0
Granada,Caribbean,North America,5.94,3.331,4.16,4.133,0.425,-14.023,4.376,7.114,3.418,0.639,0.604,0.521,0.516,0.592,0.699,0.724,0.666,0.661,,,,,,,,,,,,,,,,,,,22.9,,,13.658,9.788,12.974,13.035,,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.314,,,,,228.0,228.0,273.0,247.0,257.0,217.0,,,,,,11.234,7.558,10.744,9.085,,4.246,,,,15.086,10.474,11.321,13.391,,6.726,,,,13.718,10.077,15.636,14.853,,7.283,,,,,,,,,,,,,,,,146.0
Grecia,Southern Europe,Europe,0.431,0.385,1.674,2.272,2.385,-9.001,9.985,7.084,2.64,-0.217,0.02,0.231,0.22,0.311,0.196,-0.812,-0.862,0.092,21.715,19.826,17.697,15.262,13.704,13.207,11.268,9.257,8.446,28.992,28.017,25.983,24.053,21.201,19.27,18.844,16.363,14.289,24.981,23.514,21.414,19.179,17.045,15.899,14.657,12.426,11.023,6.879,7.397,7.311,7.618,7.397,7.743,7.892,7.68,7.284,13.07,12.563,12.272,12.439,11.888,11.094,12.173,12.184,12.727,11.73,11.067,10.852,11.04,10.146,9.203,10.256,9.771,9.832,28.078,26.693,26.758,25.866,24.5,24.114,23.932,22.664,23.668,12.501,11.929,11.673,11.853,11.151,10.288,11.358,11.156,11.476,5.91,6.137,6.102,6.161,6.247,6.296,6.367,,4746.0,5750.0,7733.0,9921.0,11980.0,12047.0,12895.0,14032.0,19.734,17.827,16.324,14.209,12.086,11.557,10.943,8.876,8.153,26.59,26.486,23.901,21.782,20.184,18.348,16.253,14.4,12.157,27.639,26.108,23.844,21.605,19.233,18.182,16.986,14.506,12.816,65.044,65.91,65.93,66.516,68.103,68.142,68.175,69.656,69.048,,,,,,,79.0
Guatemala,Central America,North America,2.202,0.803,1.222,1.698,2.448,-3.22,6.552,2.745,1.945,2.509,2.537,2.534,2.401,2.272,2.24,2.167,2.209,2.357,2.005,2.135,1.948,2.026,1.84,2.588,1.821,2.21,1.997,3.556,3.486,3.539,2.822,2.946,3.715,2.884,4.665,3.011,2.506,2.583,2.462,2.283,2.193,,2.174,3.051,2.344,2.747,3.082,2.801,2.681,2.797,3.35,4.184,4.701,2.927,42.306,39.264,42.002,43.168,40.375,39.406,37.427,36.134,35.607,9.67,9.176,9.997,11.274,11.05,11.607,12.381,9.44,9.275,36.932,34.564,37.656,37.9,33.764,37.87,42.003,39.227,36.613,31.876,29.377,31.78,32.916,31.085,30.433,29.175,27.142,26.665,,,0.286,0.363,,1.28,,,4936.0,4878.0,5675.0,5497.0,6404.0,6229.0,8200.0,,1.252,2.062,2.91,3.22,3.585,,2.594,2.444,4.399,2.905,3.139,3.056,2.61,2.626,,2.83,2.374,2.563,6.382,5.956,5.466,5.183,4.568,,4.084,6.599,3.817,60.322,62.353,59.543,59.419,63.439,58.779,53.813,56.072,60.459,,,25.596,26.654,20.396,10.958,96.0
Guinea,Western Africa,Africa,1.231,8.012,7.516,3.687,2.946,2.067,2.969,1.423,4.149,3.403,3.471,3.491,3.509,3.552,3.574,3.555,3.561,3.563,5.433,5.145,4.89,4.797,4.986,6.098,5.841,5.233,5.209,4.96,4.842,4.74,4.773,5.064,5.905,5.808,5.316,5.294,,,,,5.018,,,,,2.741,2.743,2.745,2.737,2.719,2.693,2.698,2.692,2.684,60.764,59.232,57.695,56.792,55.968,56.308,55.908,55.454,54.895,67.096,66.251,65.563,64.832,64.238,64.183,64.194,63.428,62.969,83.527,82.664,81.657,80.693,79.845,80.104,79.667,79.387,79.196,63.569,62.291,61.067,60.179,59.391,59.566,59.324,58.753,58.237,0.084,0.082,,0.222,,,,0.021,1427.0,1852.0,2346.0,2929.0,3447.0,3497.0,4641.0,5026.0,,,,,17.519,,,,,,,,,6.005,,,,,,,,,18.253,,,,,13.732,14.593,15.598,16.57,17.435,17.203,17.635,17.921,18.12,,0.517,,,,,156.0
Guinea Ecuatorial,Middle Africa,Africa,-12.492,-12.097,-8.941,-9.37,-8.524,-7.359,-1.567,0.662,-7.35,4.549,4.401,4.243,4.091,3.94,3.383,3.064,3.122,3.001,7.27,7.322,7.428,7.425,7.493,8.22,8.33,7.803,7.692,8.959,8.917,8.866,8.78,8.918,9.622,9.935,9.429,9.376,,,,,,,,,,9.238,9.114,9.072,9.0,8.892,8.808,8.793,8.766,8.709,50.5,51.04,51.713,51.558,51.834,52.367,52.192,51.929,52.075,60.277,61.279,61.707,61.251,61.728,61.844,62.006,61.302,61.65,74.361,75.51,76.201,77.0,77.907,78.357,78.304,78.298,78.593,54.394,55.106,55.676,55.4,55.757,56.123,56.101,55.65,55.875,,,0.35,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.401,15.376,14.727,14.0,13.201,12.836,12.903,12.936,12.698,,,,,,,178.0
Guinea-Bissau,Western Africa,Africa,3.441,2.695,2.267,1.327,3.108,-0.802,3.832,2.286,2.864,3.544,3.48,3.4,3.336,3.298,3.242,3.187,3.188,3.184,3.456,3.417,3.352,3.423,2.805,3.553,3.806,3.389,3.367,2.806,2.779,2.733,2.783,1.96,2.124,2.134,1.826,1.816,,,,3.127,1.799,,,2.666,,0.615,0.618,0.62,0.613,0.614,0.579,0.556,0.515,0.514,50.167,49.339,48.31,48.08,47.285,47.683,47.355,46.869,46.341,59.032,57.949,57.235,56.258,55.488,55.302,55.421,54.689,54.1,76.397,76.112,75.859,76.156,75.942,77.0,77.244,77.919,77.804,54.264,53.323,52.446,51.879,51.11,51.243,51.13,50.517,49.958,0.198,0.1,,0.3,,0.191,0.22,0.208,,,,,,,,,,,,3.568,,,,6.132,,,,,3.433,1.185,,,3.515,,,,,3.147,11.397,,,7.134,,22.989,23.27,23.521,23.23,23.444,22.421,22.201,21.567,21.682,,,,,,,174.0
Guyana,South America,South America,0.083,3.159,3.069,1.396,3.252,43.512,18.882,62.111,33.039,0.704,0.781,0.855,3.214,2.326,0.34,1.399,1.216,1.089,11.426,11.653,11.836,12.004,12.146,14.351,13.564,10.969,10.975,15.482,15.691,15.846,15.984,14.665,16.744,15.979,13.458,13.464,,,,13.627,13.172,,,,,5.866,5.855,5.847,5.83,5.868,5.829,5.795,5.76,5.716,24.975,24.078,23.75,20.833,20.612,16.52,17.852,17.083,16.287,8.997,9.844,9.994,8.434,7.342,5.498,4.624,4.533,4.241,29.846,29.473,28.97,28.635,28.467,28.408,27.878,27.43,26.213,18.935,18.582,18.327,15.915,15.298,12.069,12.505,11.906,11.288,,,,1.804,,1.405,,,227.0,440.0,469.0,589.0,885.0,819.0,,,,,,4.946,6.133,,,,,,,,13.82,13.012,,,,,,,,16.171,16.096,,,,,64.288,64.672,65.183,65.535,65.665,65.763,66.327,66.81,68.071,,,,,,,134.0
Haití,Caribbean,North America,-0.045,0.398,1.124,0.327,-2.987,-4.498,-2.927,-2.785,-2.992,3.329,3.23,3.125,3.028,2.934,2.823,2.679,2.594,2.568,11.048,11.154,11.172,11.166,11.324,12.753,12.481,11.819,11.76,16.677,16.817,16.84,16.831,17.041,18.593,18.305,17.8,17.724,,,,,,,,,,0.727,0.727,0.725,0.722,0.718,0.716,0.72,0.719,0.715,57.079,56.616,56.263,56.097,55.896,56.098,55.882,55.388,55.303,34.959,34.57,34.18,33.689,33.111,33.145,33.271,32.202,31.763,74.301,74.475,74.578,74.483,74.58,75.221,74.85,74.668,74.72,46.923,46.474,46.074,45.736,45.383,45.516,45.403,44.876,44.678,0.086,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.971,24.798,24.697,24.796,24.701,24.063,24.43,24.613,24.565,,,,,,,179.0
Honduras,Central America,North America,1.882,1.961,2.921,1.962,0.719,-10.548,10.703,2.412,1.822,3.091,3.045,2.997,2.955,2.915,2.838,2.73,2.719,2.736,4.527,5.401,4.14,4.675,4.278,8.961,7.009,6.107,4.608,8.989,9.06,8.045,7.255,8.172,14.086,10.784,13.128,8.833,6.147,6.727,5.528,5.648,5.698,10.983,8.506,8.774,6.071,9.666,10.999,11.587,9.897,9.912,10.039,9.876,9.834,9.806,40.313,38.051,44.079,42.664,41.223,34.887,34.392,34.232,31.328,7.395,7.783,9.121,11.09,12.821,9.47,11.811,9.301,5.215,41.755,37.251,40.8,42.158,41.705,36.449,36.737,36.405,35.845,28.722,27.354,31.985,30.956,31.138,25.213,25.66,25.213,22.559,,0.586,0.303,,,0.489,,,2478.0,2430.0,2427.0,2321.0,3149.0,2819.0,3447.0,3287.0,8.947,7.256,7.576,7.646,6.632,,6.021,8.535,,5.53,6.217,5.266,5.332,5.129,,9.12,9.412,6.053,12.403,12.489,10.992,10.342,10.579,,9.625,11.138,9.209,48.579,51.75,47.613,47.945,48.383,53.512,53.387,53.761,54.349,,,9.986,,,,133.0
"Hong Kong, Región Administrativa Especial",Eastern Asia,Asia,1.52,1.545,3.001,2.027,-2.397,-6.209,7.429,-2.805,0.673,0.851,0.619,0.769,0.8,0.739,-0.359,-0.912,-0.908,2.554,3.439,3.695,3.384,3.186,3.543,6.893,6.149,5.127,3.493,3.186,3.084,2.864,2.423,2.301,4.749,4.231,3.532,2.421,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949,2.936,2.794,2.815,2.539,2.646,2.655,2.211,2.247,2.275,0.322,0.319,0.316,0.313,0.315,0.312,0.309,0.3,0.3,0.138,0.135,0.132,0.13,0.127,0.128,0.127,0.127,0.125,5.994,5.908,5.886,5.992,6.007,6.037,6.158,6.207,6.189,0.231,0.227,0.224,0.221,0.22,0.218,0.216,0.211,0.21,,,,,,,,,139209.0,144883.0,160229.0,151739.0,124741.0,99405.0,110840.0,104120.0,2.905,2.879,2.511,2.356,2.631,4.464,4.048,3.309,2.723,3.708,3.825,3.616,3.149,3.438,7.219,6.121,5.249,3.222,3.371,3.506,3.297,2.949,2.865,6.105,5.533,4.615,2.998,91.07,91.297,91.299,91.469,91.348,91.309,91.631,91.545,91.535,,,374.618,324.565,398.011,315.801,3.0
Hungría,Eastern Europe,Europe,3.954,2.503,4.55,5.496,4.912,-4.281,7.505,5.294,-0.369,0.15,0.1,0.133,0.279,0.365,0.2,0.007,-0.253,-0.114,6.617,5.121,3.801,3.471,3.354,4.057,3.878,3.72,4.07,7.034,5.108,4.561,3.979,3.494,4.474,4.238,3.482,4.148,6.813,5.115,4.156,3.709,3.419,4.25,4.045,3.609,4.107,3.463,3.39,3.242,3.288,3.434,3.778,3.935,4.025,3.914,6.852,6.942,6.905,6.66,6.313,6.368,5.922,5.941,6.078,2.69,2.891,2.886,2.767,2.876,2.877,2.626,2.56,2.562,7.546,7.427,7.093,7.128,7.394,8.266,8.573,8.65,8.38,4.9,5.04,5.037,4.848,4.722,4.757,4.393,4.363,4.431,3.097,3.211,3.325,3.384,3.493,3.139,3.298,,21256.0,22522.0,22926.0,24467.0,25571.0,25753.0,30794.0,27399.0,2.417,1.803,1.618,1.461,1.544,1.845,1.744,1.447,1.604,17.306,13.153,11.075,10.255,9.656,10.918,11.0,11.618,12.862,6.401,4.76,3.745,3.346,3.019,4.116,3.942,3.306,3.831,88.992,89.183,89.665,89.583,89.172,87.956,87.492,87.325,87.706,,,727.353,641.035,770.312,,52.0
India,Southern Asia,Asia,6.716,6.974,5.561,5.292,2.797,-6.69,8.791,6.145,7.202,2.399,2.42,2.414,2.369,2.331,2.282,2.151,2.134,2.246,7.61,7.579,7.596,7.632,6.653,8.219,6.72,4.908,4.216,7.695,7.668,7.683,7.713,6.073,6.749,5.394,4.588,4.057,,,,7.652,6.51,7.859,6.38,4.822,4.172,1.614,1.688,1.796,1.908,2.023,2.126,2.101,2.867,3.364,39.898,38.917,37.97,37.008,36.325,40.26,38.753,36.893,36.587,57.59,56.609,55.561,54.442,53.78,58.063,59.301,59.151,61.487,76.21,74.934,74.841,74.707,74.604,75.076,74.553,74.002,72.763,44.206,43.238,42.281,41.295,40.652,44.675,44.079,42.861,43.514,,,,0.678,,0.727,,,80546.0,93714.0,107492.0,117834.0,128565.0,142000.0,167606.0,173114.0,,,,16.507,15.73,17.905,15.781,14.3,13.316,,,,6.394,4.937,6.368,4.877,3.095,2.473,,,,12.343,10.309,11.635,9.571,8.06,5.991,22.176,23.378,23.362,23.385,23.373,22.798,23.346,23.13,23.873,,0.581,95.549,,,73.06,62.0
Indonesia,South-Eastern Asia,Asia,3.706,3.911,4.001,4.159,4.041,-2.894,2.975,4.525,4.167,2.402,2.334,2.256,2.181,2.121,2.015,1.844,1.864,1.938,4.566,4.574,3.975,4.519,3.747,4.57,4.269,3.66,3.454,4.43,3.866,3.484,4.184,3.35,3.773,3.154,3.157,3.082,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,3.515,3.515,3.421,3.574,3.511,3.408,3.222,3.164,3.374,33.303,32.916,32.04,31.09,30.129,31.159,30.955,31.061,30.492,32.625,30.085,28.848,27.6,26.592,27.167,26.024,26.557,26.12,47.49,47.611,47.77,48.398,48.415,49.589,49.903,50.281,50.672,33.044,31.82,30.79,29.713,28.724,29.572,28.987,29.285,28.768,0.273,,0.377,0.425,0.467,0.627,0.695,0.69,57079.0,58426.0,,,,,,,5.444,4.947,4.209,5.31,4.377,4.597,4.43,4.097,3.571,3.088,3.065,2.613,2.969,2.377,2.868,2.252,1.985,2.051,8.476,7.536,6.948,7.712,6.209,7.269,6.704,6.269,5.792,48.996,48.874,48.809,48.028,48.074,47.004,46.875,46.555,45.954,0.0,,,16.312,17.486,34.742,73.0
Iraq,Western Asia,Asia,-0.154,11.098,-3.985,0.268,3.14,-13.968,-0.747,5.199,-5.097,2.961,2.639,2.493,2.609,2.565,2.523,2.56,2.624,2.594,8.553,8.46,10.194,10.894,11.722,13.61,14.23,13.269,13.234,22.218,22.141,30.761,29.716,28.884,29.239,28.21,29.893,29.85,,10.82,13.02,,,,16.173,,,3.683,3.77,3.569,3.289,3.921,4.24,4.465,4.464,4.467,8.35,7.804,8.184,8.039,7.673,7.858,7.821,7.561,7.565,16.85,15.992,15.969,15.585,14.804,14.721,14.527,13.98,13.726,28.424,27.45,26.173,25.707,26.123,26.814,26.983,26.923,27.13,9.592,9.037,9.035,8.884,8.495,8.658,8.619,8.279,8.246,0.714,0.703,0.794,0.67,0.873,0.913,0.972,1.012,1841.0,2054.0,2826.0,2398.0,2547.0,1984.0,2437.0,3037.0,,,,,,,18.841,,,,,,,,,14.662,,,,,,,,,13.4,,,67.893,68.78,70.258,71.004,69.956,68.946,68.552,68.614,68.403,,,24.984,25.993,19.292,22.979,172.0
Irlanda,Northern Europe,Europe,23.444,0.086,8.858,6.22,3.614,6.061,15.152,5.833,-8.056,1.262,1.447,1.423,1.593,1.739,1.419,1.36,3.022,3.15,10.734,9.023,7.066,5.784,5.175,5.601,6.352,4.352,4.356,8.908,7.598,6.294,5.691,4.685,5.65,6.378,4.672,4.211,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288,4.031,4.055,3.999,4.04,3.986,4.007,3.806,3.982,3.828,8.451,8.46,8.008,7.563,7.177,7.038,7.235,6.375,6.463,1.605,1.538,1.557,1.462,1.208,1.46,1.312,1.251,1.268,12.434,12.175,11.442,10.976,10.413,10.515,10.313,10.421,9.921,5.321,5.281,5.046,4.763,4.429,4.48,4.489,3.986,4.027,3.143,3.219,3.282,3.302,3.343,3.484,4.062,,19207.0,20754.0,22048.0,22217.0,22561.0,21679.0,25282.0,21263.0,5.637,5.026,4.048,3.812,3.22,4.124,4.128,3.336,2.914,16.807,14.206,11.312,9.723,8.63,8.047,10.182,8.298,8.337,12.401,10.07,8.427,6.924,5.952,6.903,8.155,5.114,4.929,83.535,83.77,84.559,84.984,85.601,85.478,85.881,85.597,86.251,,,1161.917,1151.985,1164.609,,24.0
"Irán, República Islámica del",Southern Asia,Asia,-2.758,7.266,1.291,-3.082,-4.11,2.539,3.853,2.538,3.788,2.084,2.143,2.132,1.95,1.734,1.407,1.45,1.804,1.788,9.453,10.746,10.371,10.56,9.144,8.504,8.011,7.759,7.703,19.624,20.902,20.009,19.062,17.633,15.739,16.098,15.887,15.793,11.166,12.618,12.232,12.195,10.74,9.687,9.282,9.085,,3.7,3.538,3.786,3.685,3.629,3.138,3.117,3.329,3.299,16.164,15.679,15.619,16.044,16.401,16.424,15.253,14.678,14.399,22.606,21.73,21.109,19.486,19.734,18.416,17.083,13.819,13.8,39.772,40.688,40.826,41.839,41.332,40.592,39.655,39.451,39.212,17.146,16.688,16.585,16.654,16.979,16.728,15.519,14.548,14.307,1.106,,1.078,1.514,,,,,,,,,,36158.0,,,11.956,13.937,,18.376,16.916,14.347,13.763,12.942,,8.071,9.131,,8.843,7.282,7.068,6.437,6.698,,11.765,13.428,,12.676,11.264,10.288,10.033,9.507,,56.528,55.774,55.388,54.476,55.038,56.27,57.228,57.22,57.489,,,160.589,,496.815,,127.0
Islandia,Northern Europe,Europe,3.354,4.838,1.779,2.117,-0.354,-8.439,3.543,6.287,2.007,1.077,1.425,2.386,2.721,2.244,1.669,1.688,2.565,2.98,3.914,2.918,2.763,2.848,3.845,5.636,5.744,4.135,3.872,4.051,3.046,2.718,2.536,3.111,5.293,6.364,3.387,3.103,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518,1.557,1.463,1.381,1.288,1.258,1.246,1.254,1.269,1.284,6.498,5.421,5.349,6.461,6.33,5.959,6.085,6.186,5.234,1.734,2.167,1.933,1.202,1.367,1.797,1.739,1.679,1.931,12.241,12.066,11.95,11.734,11.56,11.55,12.769,12.453,12.399,4.239,3.895,3.757,4.03,4.037,4.043,4.094,4.093,3.709,3.772,3.849,3.871,3.891,3.891,4.317,4.405,4.524,2385.0,2683.0,2588.0,2312.0,2214.0,2501.0,3231.0,3052.0,2.733,1.688,1.614,1.859,2.313,3.674,4.081,2.447,2.261,6.147,4.53,4.745,4.527,5.719,8.388,9.959,7.29,6.762,3.354,3.073,2.423,2.284,3.334,5.534,5.883,3.165,3.058,86.202,86.471,86.669,86.978,87.181,87.205,85.977,86.278,86.316,,,2100.908,,2371.461,,26.0
Islas Marshall,Micronesia,Oceania,3.965,4.848,6.184,8.385,13.66,0.189,4.499,2.065,-0.842,-1.454,-1.712,-1.974,-2.195,-2.361,-2.515,-2.715,-2.712,-2.725,,,,,,,,,,,,,,,,,,,,,,,6.342,,9.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.922,,1.814,,,,,,,8.168,,12.795,,,,,,,5.847,,9.449,,,,,,,,,,,,,,,,,,153.0
