pais,continente,pago_impuestos,desempleo_total,empleos_agricultura,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,agricultura_silvicultura_pesca_valor_agregado,exportaciones_bienes_servicios_PIB,nuevas_empresas_registradas,empleadores_total,inflacion_deflactor_PIB,personas_desempleadas_educacion_basica,tierras_cultivables,trabajadores_asalariados,Medicos (cada 1.000 personas),inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,exportaciones_bienes_servicios,puntaje,corrupcion,salud,libertad,industria,construccion,comercio_por_mayor_menor_transporte_alojamiento_comida,actividades_financieras_seguros,actividades_inmobiliarias,actividades_profesionales_cientificas_tecnicas_administrativas_apoyo,administracion_publica_defensa_educacion_salud_trabajo_social,artes_entretenimiento_recreacion_servicios_organizaciones_extraterritoriales,Cluster,PCA1,PCA2
Bosnia y Herzegovina,Europe,1.629684918422266,2.9493125612107725,0.5425484315168337,0.4536372587963964,1.2627200215221095,0.5270661879846199,0.2144523929354121,-0.4262538126649345,-0.4692747187275333,0.1892946465464197,-0.3113233166233869,1.7778315844752797,0.1749497026246041,0.1780441583524094,-0.4011681052331943,-0.3356131768165415,-1.5233820262910736,-0.7550450846588324,-0.4955893184552204,1.133669387196405,-0.2921026024452918,-0.983226978662112,0.293811345941182,-1.8175993965713797,1.1905243319824923,0.3726183671255438,-0.7984203230360074,-0.4289617204214764,0.3517121751864234,-0.6616316053293698,-0.4770801021530632,-0.7044503971817306,4,-1.7980887735092645,-2.9678584928479848
Brasil,South America,-0.6261767208377297,-0.044929786229115,-0.1965714092123408,1.1910237193100606,-1.996288158962573,-0.2305710492900309,-0.1564607667571599,-1.2987905210841366,3.9956554602115593,0.3352658025584892,0.8816967128358895,-0.5195597622429904,-0.764583919400878,-0.14854693502114,-0.3636952152788743,-0.2164188307260603,0.2941843312409742,-0.550153300156125,-0.736357093286035,0.5667280656939122,0.7254483471957209,0.4217374868897138,-0.2835740168143114,0.3376175649111984,-0.057452098467992,-0.0618516317900701,-0.9050936636531768,0.3859523658673443,0.6179926863685741,-0.4359685281919248,-0.4770801021530632,0.4721363477036171,0,-1.3064442932118085,1.5598861158771633
Bulgaria,Europe,-0.346345339194571,0.0496318163287558,-0.4107639098730895,-0.1753100163476112,0.7317818330072431,0.5260387603335613,-0.2119143339712325,0.6998546711112049,0.0484495323632648,0.3841099970702198,-0.0069107865258748,1.1819110590392785,1.0397429286130837,0.7959625850571125,0.8695035268542077,-0.14245575200643,-1.078263734650572,-0.6391936868797754,-0.125534667750624,0.5014810219435409,-0.6578006084372192,-0.9263787054894947,0.1402514090381252,-0.6587641459249683,-0.099518719719132,-0.9959621294586406,1.3243791552456612,-0.4289617204214764,-1.0595745340789733,0.0830565492241986,-0.1806775075268068,-0.354654337891492,4,1.2802377420791953,-2.5773777691000075
Bélgica,Europe,-0.5375740738026521,-0.0536825957220751,-0.9020398433352832,-0.5006275724565807,-0.3023735698064194,0.3791166062321993,-0.9263375287019514,1.253344983739762,-0.2146572873099283,-0.0689620140903174,-0.3582744274601713,0.2996880947430579,0.6912806892787332,0.6463116797376963,0.2270137954555909,-0.958420229419788,-0.2282997587084716,0.9818884214500372,0.5535440026323223,-0.0359938927039457,0.7024358871743414,0.827796580979837,0.944905478410142,0.8520537743103062,-1.2914063218347638,-0.9307916296212986,0.8443491224683993,-0.2659789031637123,-1.0862025851971884,3.0843754751522177,2.1082091954203928,-0.0366579203549116,1,4.183240335110196,-0.23677434007419482
Canadá,North America,-0.7288028084107331,-0.2939159562699222,-0.8616408539134052,-0.9994478251570006,-0.6285026782307849,-2.472841242344181,-0.6848879500539072,-0.5544929462678467,-0.4599119894713702,0.4773069659086949,-0.7411953723995198,0.0865327859708789,-0.9221050721336812,0.6556324973700479,-0.1041102866862198,-0.1915748222330562,-0.0290563329265328,1.1113445626157448,-0.544910584226431,-0.0878471151565868,0.9475686134890392,1.6805206785690956,1.0001870556952424,1.1119794380066976,-0.057452098467992,-0.0618516317900701,-0.6917469824188381,0.3859523658673443,0.6179926863685741,-0.6616316053293698,-0.4770801021530632,-0.4818529049061243,1,1.3766939188196585,2.4896508304740768
Chile,South America,-0.79254571994676,-0.3926976634047559,-0.2936327927912422,-0.2186856904954738,-0.2286683913025128,0.4840351004814647,-0.2880820741524297,-0.6589302682433885,0.3328889903005004,0.2594730869368375,0.37908891977982,-0.8147770075826894,-1.0802554704832603,0.1541725087495538,-0.3630138900069776,0.1378453514489896,0.2634499730086537,-0.3345333048101769,-0.6368113600159528,-1.1844183988321817,0.5688635648763322,0.0481631203268006,0.7114943743174957,0.0722767832211323,1.3447686099033391,0.3726183671255438,-0.7984203230360074,1.2008664521561654,0.3517121751864234,-0.6616316053293698,-0.4770801021530632,-0.7998493224427048,0,-1.0872524029254182,1.8726414638455524
Colombia,South America,-0.5375740738026521,-0.0396155804655324,0.4079428050919044,-0.0451829939040234,0.0827849072427559,0.4164061862735568,0.2019375801011078,-1.1907789996728015,0.2773419340139359,0.2527359566593577,-0.1029296566388069,-0.7718030686559659,-1.122345010627578,-1.22914039253172,-0.4611247291601066,-0.1816182539438753,0.4923679515666259,-0.6790002701299069,-0.6925195522899101,-0.4209705848615616,0.472311286960543,-0.5852890664537915,-0.3204284016710449,0.5812978746265656,1.4569462665730455,0.2640008673966405,-0.6384103121102535,-0.0215046772770659,0.6978768397232189,-0.4359685281919248,-0.4770801021530632,-0.7680496806890467,0,-2.210325601011631,1.2036708309237174
Costa Rica,North America,-0.601316985338679,-0.0641547070797237,0.2407238617246883,0.1066318656134956,0.2419359121538462,0.526461818778115,-0.0636785336752484,-0.627312350157525,-0.3301694778859656,-0.4372584692592302,0.1868587569685593,-0.5033302427547065,-0.9039967816064748,-0.0915863828234386,-0.6225988185996318,-0.0605274186554548,1.5150802168834925,-0.4169518611727436,-0.3226261876081104,-0.1856220106300171,0.8470141686130103,-0.138624062954656,0.717636771793618,1.1173945560003726,0.0827699723691408,0.3726183671255438,-0.7984203230360074,0.3859523658673443,0.6179926863685741,-0.6616316053293698,-0.4770801021530632,-0.6408511136744145,0,-1.0108446031015728,2.031221803768786
Croacia,Europe,-0.4738311622666251,1.148734608373298,-0.2055681862998683,-0.3921883870869242,0.5664343750360897,0.5270661879846199,-0.4490484599177926,-0.0213087996646208,-0.3378240548910043,0.9449760926704388,-0.5503121676860355,0.9120667244488684,-0.1665908349252157,0.5409864404921284,0.3162674060740628,-0.4661864580946582,-1.715206813879004,-0.3895977879262507,0.0304611734982799,1.2213032465444111,0.1131168022790055,-0.8045609772624579,0.2753841535128152,-0.9132746916276848,-0.0153854772168521,-0.4528746308141229,1.4310524958628308,-0.102996085905948,-1.1394586874336186,-0.0974739124857572,0.494461735788554,-0.291055054384176,4,1.3982836525685631,-2.615930028328773
Cuba,North America,-1.238746100698949,-1.0043002267253325,0.6109758418652393,-1.4982680778574204,0.8879976759425141,0.5270661879846199,-0.2606789494980047,-1.1319814551081586,0.0,0.5996981659495836,0.087568702903884,-2.03024070022484e-16,0.8034262414240579,0.1675841296761036,3.452407632614713,-0.5570282906759478,-0.940489025333274,-0.60807787246007,-0.938642023077573,-0.7573468397388423,-2.7679431382237443,-0.983226978662112,-2.181574836936091,-1.898826166476502,-0.057452098467992,-0.0618516317900701,-0.6917469824188381,0.3859523658673443,0.8842731975507243,-0.6616316053293698,1.1696009791039153,-1.4358421575158655,4,-0.8385899223813464,-2.402545892154428
