pais,continente,desempleo_total,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,inflacion_deflactor_PIB,medicos_por_1000_personas,inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,corrupcion,libertad
Chile,South America,-0.3926976634047559,-0.21868569049547382,-0.22866839130251287,0.4840351004814647,0.37908891977982007,-0.36301389000697765,0.13784535144898968,0.26344997300865375,-0.33453330481017696,-0.6368113600159528,0.04816312032680067,0.07227678322113232
Colombia,South America,-0.039615580465532436,-0.04518299390402344,0.08278490724275597,0.4164061862735568,-0.10292965663880692,-0.4611247291601066,-0.1816182539438753,0.49236795156662594,-0.6790002701299069,-0.6925195522899101,-0.5852890664537915,0.5812978746265656
Costa Rica,North America,-0.06415470707972372,0.10663186561349565,0.24193591215384624,0.526461818778115,0.1868587569685593,-0.6225988185996318,-0.06052741865545485,1.5150802168834923,-0.4169518611727436,-0.3226261876081104,-0.138624062954656,1.1173945560003726
Croacia,Europe,1.1487346083732979,-0.3921883870869242,0.5664343750360897,0.5270661879846199,-0.5503121676860355,0.3162674060740628,-0.4661864580946582,-1.715206813879004,-0.38959778792625077,0.03046117349827996,-0.8045609772624579,-0.9132746916276848
Cuba,North America,-1.0043002267253323,-1.4982680778574204,0.8879976759425141,0.5270661879846199,0.08756870290388404,3.452407632614713,-0.5570282906759478,-0.940489025333274,-0.60807787246007,-0.938642023077573,-0.9832269786621121,-1.898826166476502
Dinamarca,Europe,-0.3981681693378559,-1.4115167295616953,-0.13996127381108556,-0.22274446806579132,-0.49547173084798823,0.846338467609719,-0.49909054567890404,0.0006182198495005108,1.5667641001389199,0.38841937249312875,2.9311826883666745,1.198621325905495
Ecuador,South America,-0.8142392205924877,1.299462904679717,-1.016922446364204,0.5086027087258925,-1.6278786459073176,-0.5980711088113495,-0.42797220075618253,0.8569410285293224,-0.6920569176452043,-0.7528082676112917,0.4704645781805286,0.31595709293649915
El Salvador,North America,-0.7545325558369395,0.47532509587032773,0.07887135794166358,0.5270661879846199,-0.3224838265763931,-0.7670397762417386,-0.356948680293358,0.7308241792311804,-0.7968446697159931,-0.3888502285684082,-0.0411698803730265,-0.12808258254483587
Eslovenia,Europe,0.021341485646153,-0.6958181061219624,0.16333879702357418,0.5208411851576185,-0.40734218673631906,0.07507825982262013,-0.17289440363335476,-0.3660744680257697,0.013670568860115487,-0.07934235082166824,-0.6908644309172234,0.982016606158502
España,Europe,2.068092205473126,-0.8259451285655501,0.7588505490064654,-0.828141102221836,-0.46795530113626616,0.7870631689547034,-0.37012928021903574,-0.6564611630483826,0.26643624818745903,-0.44971957357185777,-0.4797137019903594,0.175164025100954
Estados Unidos,North America,-0.5541557385159634,-1.3681410554138327,0.12224652936210417,-2.2389805778870757,-0.39560440902712296,-0.08298920325742146,-0.291993925263939,0.13627331825422478,1.7559439468156057,-0.7151318526859982,0.2917985767808745,0.6408641725569886
Estonia,Europe,-0.37722394662255887,-1.1078870105266572,-0.014401567067704913,-2.4947798445403113,-0.3228686717471864,0.4940933020391092,-0.848044558099724,-0.5907532247585943,-0.12895607687454672,0.4243216411676594,0.23495030360825722,0.11559772717053092
