pais,continente,desempleo_total,indice_facilidad_para_hacer_negocios,crecimiento_PIB_per_capita,contaminacion_aire,inflacion_deflactor_PIB,medicos_por_1000_personas,inversion_extranjera_directa,crecimiento_poblacion_urbana,PIB_per_capita,comercio_servicios,corrupcion,libertad,Cluster,PCA1,PCA2
República Checa,Europe,-0.5904173778439404,-0.6090667578262372,0.9581154342537526,0.5218686128086771,-0.3365306753103491,0.85860232250386,-0.4717811012285789,-0.5462413955945442,-0.1189154188159599,-0.2045970761255339,-0.7801974316170505,0.1968244970756532,4,-0.21564176891207168,-0.9869374413112076
República Dominicana,North America,-0.1907578443886085,0.9958331856446788,1.2685903454737484,0.5264316003177897,-0.0985039371746837,-0.8603813384915907,-0.2602277311984567,1.545814575115813,-0.6516066465384595,-0.4529130368232311,0.1537384847902325,0.8087328303609076,0,-0.30606831457374134,1.7356652278126574
República Eslovaca,Europe,0.4167809145245222,-0.522315409530512,1.0637812653832468,0.5270661879846199,-0.6099631691589994,0.5172583612835981,-0.3953525865516276,-1.0061969636230623,-0.1903228715042828,-0.3562704519634883,-0.7233491584444333,-0.5937827300008705,4,-0.7992446110294357,-1.6559316694710573
República de Moldova,Europe,-1.101050031656443,-0.4572518983087181,-0.4520668305732031,0.5270661879846199,1.6529264351056925,0.2678933117693948,-0.2823218303544489,-1.716266619335291,-0.8467399467164018,-0.1813396316382593,-0.8695304323168775,-0.5396315500641222,3,-1.4374903423714214,-0.7199583119512454
Rumania,Europe,-0.314703878815702,-0.305437038791199,0.596112123902707,0.5083005241226403,0.0540871730448656,0.0416933214996803,-0.326889326506021,-1.412102453380948,-0.5481963970275816,-0.3848503352030517,-0.9507422511349022,-0.4150838362096016,4,-1.2224707266174977,-1.1051966060011684
San Vicente y las Granadinas,North America,-1.379420633566473,1.3211507417536483,0.4959904876164268,0.5270661879846199,-0.7150259007855744,-1.8339951520320183,0.9364569527012035,-0.6098297229717586,-0.6260161830982591,0.5354799680790993,-0.983226978662112,-1.898826166476502,4,-1.7401024810135572,1.0283437251582823
Santa Lucía,North America,1.6115394103135547,0.5187007700181904,-0.7022078567346914,0.5270661879846199,0.0486993406537592,-1.38772709893966,0.2415833105762661,-0.2314791750773323,-0.4830986385839791,1.21723598644047,-0.983226978662112,-1.898826166476502,4,-1.9331261402734934,-0.1356260241934391
Serbia,Europe,1.3808403601062536,-0.5440032466044433,-5.1886297032826826e-05,0.5270661879846199,-0.156807980549871,0.1445734375560865,-0.0189943052205854,-1.21603844396787,-0.699527762077981,-0.2614987849681862,-0.788318613498853,-1.2273515352608244,4,-1.5750567726798617,-1.7793716668970585
Suecia,Europe,-0.217797773715074,-1.2813897071181075,0.488163389014242,-2.38735321808405,-0.1406444833765517,0.9955487021551026,-0.3722154183367689,0.6078867463018989,1.475867340072629,-0.0302146282778136,2.5576083218037615,1.258187623835918,2,3.7357029535136492,-0.6040373461407545
Suiza,Europe,-0.6290235197146744,-0.7175059431958937,-0.4308684385256194,-0.309652759961208,-0.8175871388019927,1.025527014118559,1.065228569241278,0.3492942149678933,3.0391124621351415,0.2072951688925091,2.411427047931317,1.2906783317979669,2,4.013903598163431,0.1963471924440384
Suriname,South America,-0.2509334096527082,2.01516152811945,-2.0439030087925305,0.5270661879846199,0.3600390838255511,-1.1410873505130437,-0.2172722508651329,0.2041008674565868,-0.5560297623192032,-0.3811730138832884,0.1050113934994179,0.917035190234404,0,-1.2061622473265952,2.3996579172064756
Trinidad y Tobago,North America,-0.9999238219788522,0.7789548149053659,-0.9490875918119358,0.5270661879846199,-2.254791429129628,-0.1395392008248499,-0.4950130939033346,-0.7348867668136138,-0.0185699135506637,-0.456461329324757,-0.91013634172589,0.7112607064747614,0,-0.7469107904280219,0.395172397554524
Ucrania,Europe,0.0491629158202043,-0.1102465051258173,-3.617475956940092,0.5270661879846199,4.293335063932242,-1.8339951520320183,-0.5777000229334855,-1.1789452529978284,-0.8781442149853098,-0.0955999819195688,-0.7558338859716431,-0.9565956355770834,3,-2.8147600869470155,1.0122882693876085
Uruguay,South America,-0.209044964222114,0.6922034666096407,-0.5844752485934955,-1.6956828796994183,1.3221520108088385,0.8695035268542077,-0.1176117435134259,-0.408466686277246,-0.157540381578283,-0.4082690657131229,0.9983414004976888,0.9549410161901278,2,0.9227632817622082,0.14926450242967845
Venezuela,South America,-0.548060031904795,2.5790452920416636,-0.5919762180872559,0.5269150956829939,-0.5741725682752211,-0.7002698995958592,-0.5570282906759478,0.2380146420577679,-0.9785529049229093,-0.938642023077573,-0.0980181535456436,0.0072953672970344,0,-1.836330683611553,1.9172486993759479
